0	1	2	3
1	07.11.2024	40500.00	За тур.поездку по договору №001 от 27.01.2023г
2	07.11.2024	32600,00	За оказание услуг по договору №53Б-02746 от 23/08/2024
3	07.11.2024	4710-00	Оплата штрафа
4	07.11.2024	30900-00	Лечение по договору №Д-00359/24 от 08.03.2025
5	07.11.2024	13200.00	"Оплата основного долга за период с 16.12.2024г. по 20 марта 2026г по Договору №Г03388/25 от 02.09.2027г с ОАО ""Второй банк"""
6	07.11.2024	4210.00	Оплата за Бульон Роллтон Домашний куриный 90г по счету 27336253164249532548 от 28.05.2023г Сумма 4210.00
7	07.11.2024	4240-00	Комиссионное вознаграждение за валютный перевод.
8	07.11.2024	4630.00	государственная пошлина
9	07.11.2024	8000.00	Лечение по договору №Д00184/63 от 27.12.2023 г.
10	07.11.2024	1310000,00	Оплата по счету 0187,0188,0189 от 02.01.2024 (в рамках договора финансовой аренды №00438Б от 22 декабря 2025г). В т.ч. НДС(20%) 218333,33
11	07.11.2024	11800-00	"Оплата по товарной накладной 0049 от 30 октября 2025 за конфеты ""Алёнка"".Сумма 11800-00 В т.ч. НДС 20% 1966-66"
12	07.11.2024	3010.00	Оплата за Конфеты Milla Vanilla Трюфель классический 200г по счету 02975795096475183726 от 08.07.2023г Сумма 3010.00
13	07.11.2024	9900-00	Оказание прочих услуг
14	07.11.2024	640.00	Перевод собственных средств на собственный счет
15	07.11.2024	910.00	Оплата за Сушеная и вяленая рыба по счету 89060952434565760499 от 28/05/2026 Сумма 910.00
16	07.11.2024	24000,00	Оплата за консультирование в сфере информационных технологий по договору №16Д-01555 от 31.05.2028 г.
17	07.11.2024	3280,00	Перевод средств на собственный счет
18	07.11.2024	2310000.00	Оплата по счету 0798,0799,0800 от 20.02.2024 (в рамках договора финансовой аренды №69-04477 от 04.03.2025). В т.ч. НДС(20%) 385000.0
19	07.11.2024	1990.00	Оплата коммунальных услуг
20	07.11.2024	4880000.00	Окончательный расчет по акту приема-передачи №0046 от 04/05/2024г. (договор лизинга №01434А от 26/03/2024г.). В т.ч. НДС(20%) 813333.33
21	07.11.2024	1960000-00	Оплата аванса за ГСМ по счету А-0631 от 21.01.2024г к Договору №Г02634 от 16.04.2025г. на сумму 1960000-00В т.ч. НДС(20%) 326666-66
22	07.11.2024	24500-00	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №69-02194
23	07.11.2024	2970,00	Оплата за Чернослив Красная Цена 100 г по счету 37542489267283838868 от 24.12.2026 г. Сумма 2970,00
24	07.11.2024	31100,00	Комиссия за обслуживание по системе Клиент-Банк за период с :17.08.2024г. по 06 сентября 2024г. НДС не облагается.
25	07.11.2024	740000.00	Оплата по договору процентного займа (20%) №Г00646/57 от 04.05.2023г.. Без НДС
26	07.11.2024	4190000,00	ПРЕДОПЛАТА ПО ДОГ. №466 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 4190000,00 в т.ч.НДС  698333,33
27	07.11.2024	4160-00	Перевод себе
28	07.11.2024	22000.00	Оплата по сч. 0165 от 30/11/2025 за абхазсие мандарины. Сумма 22000.00 В т.ч. НДС 20% - 3666.66
29	07.11.2024	124000000-00	Возврат денежных средств по договору займа №7-04135/33 от 03.08.2024. Без НДС
30	07.11.2024	17100-00	Оплата по товарой накладной за 100 штук пачек кофе Lavaza по счету 0403 от 10.11.2025г .Сумма 17100-00 В т.ч. НДС 20% 2850-00
31	07.11.2024	29200.00	Оплата за Размещение рекламы по счету 47993475285181128847 от 11.09.2024г.; Договор №91-00638 от 21 января 2024
32	07.11.2024	2440000,00	оплата по счетам 0164, 0248,0269, 0611 за услугиСумма 2025.07.01В т.ч. НДС(20%) 2440000,00 (перевозка грузов)
33	07.11.2024	870000.00	Оплата по договору процентного займа №В-03253/30 от 10 июля 2024 г.. Без НДС
34	07.11.2024	2580,00	Оплата за Конфеты Milla Vanilla с кокосовой стружкой 150г по счету 90436675415349880460 от 27.05.2028г. Сумма 2580,00
35	07.11.2024	14800,00	"Оплата основного долга за период с 30.11.2023 по 16 ноября 2023г по Договору №Д-03230/57 от 19/09/2026 с ОАО ""Второй банк"""
36	07.11.2024	21300-00	За бронирование отеля в г. Серпухов по договору №1-01217/98 от 08 мая 2027
37	07.11.2024	25200.00	Оплата дог №367 от за 05/24г.согл.сч 0596 от 25.05.24г.,счет-фактура 0070 от 26.05.2024г.
38	07.11.2024	31300,00	Частичная оплата по счету № 0642 от 07 августа 2026 г. за костюмы ФаворитСумма 31300,00В т.ч. НДС(20%) 5216,66
39	07.11.2024	135000000,00	Оплата по счету #0250 от 26 сентября 2023г за яхту/катер Midnight Express FL06354
40	07.11.2024	3600,00	Оплата за Грунт Seasons универсальный 10л по счету 85932475659399137420 от 30.08.2024 Сумма 3600,00
41	07.11.2024	49000,00	Оплата по Договору №77-02161Е от 22/01/2023за бухгалтерское сопровождение в счет задолженности
42	07.11.2024	31500,00	За информационные услуги по договору №04921В от 24.06.2024г.
43	07.11.2024	4370-00	Оплата гос. услуги
44	07.11.2024	372000000-00	Предоставление денежных средств по договору займа б/н от 07.08.2023. Без НДС
45	07.11.2024	14000-00	Оказание прочих услуг
46	07.11.2024	4350000,00	Оплата по договору №Б01187/37 от 20 мая 2028г, за сырьё для пищевой промышленности в т.ч. НДС 20% 725000,0
47	07.11.2024	3300-00	Оплата за Мешки для мусора Liberhaus сверхпрочные 240л 10шт по счету 97058773809286444074 от 18.08.2025 Сумма 3300-00
48	07.11.2024	4590-00	Оплата за Печенье Юбилейное Традиционное витаминизированное 224г по счету 17121066138945350327 от 30.08.2024 Сумма 4590-00
49	07.11.2024	32300.00	"Комиссия АКБ ""Первый банк"" (АО) за выдачу носителей ключей ЭП по системе ""Интернет-Клиент"". НДС не облагается"
50	07.11.2024	4150000,00	Оплата за нут,сафлор по счету 0814,0815,0816 от 16/10/2027г. .Сумма 4150000,00 В т.ч. НДС 20% 691666,66
51	07.11.2024	484000000-00	По предвариельному договору №04292Б от 09 октября 2024 за квартиру в ЖК по адресу г. Кисловодск, Колхозная ул., д. 13
52	07.11.2024	1060-00	Оплата за Горбуша Fish House натуральная 245г по счету 01757332421554762930 от 14 марта 2026г Сумма 1060-00
53	07.11.2024	970,00	Оплата за Очиститель Tiret для стиральных машин 250мл по счету 87279027396266279379 от 14.04.2026г Сумма 970,00
54	07.11.2024	31600-00	Оплата по договору №87-04176А от 03 марта 2026, счету 0783 от 03 марта 2026 за мясные деликатесы. Сумма 31600-00 В т.ч. НДС 20% 5266-66
55	07.11.2024	3170000,00	Окончательный расчет по акту приема-передачи №0594 от 20.05.2024 (договор лизинга №6-03719/43 от 23.07.2025 г.). В т.ч. НДС(20%) 528333,33
56	07.11.2024	49800.00	Лечение по договору №461 от 24 июня 2023г
57	07.11.2024	425000000-00	По предвариельному договору №43-04244 от 28.04.2028г за квартиру в ЖК по адресу г. Тольятти, Лесная ул., д. 13
58	07.11.2024	3060,00	Комиссия за справку о движении по счету (обороты) по письменному запросу клиента п.1.1.6 согласно
59	07.11.2024	3310000-00	Оплата по договору процентного займа (20%) №Г-03286/08 от 01 января 2024г. Без НДС
60	07.11.2024	296000000.00	Возврат денежных средств по договору займа №90-04514 от 16.12.2024г. Без НДС
61	07.11.2024	3050,00	Оплата за Кислота Красная Цена уксусная пищевая 70% 180мл по счету 00940009393118674373 от 29.01.2025г Сумма 3050,00
62	07.11.2024	20000,00	За покупку авиабилетов г. Кострома - г. Альметьевск по договору №305 от 26 декабря 2024 г.
63	07.11.2024	4120000.00	Оплата по договору №03569Г от 13/03/2026г., за сырьё для пищевой промышленности в т.ч. НДС 20% 686666.66
64	07.11.2024	26400-00	За покупку авиабилетов г. Орехово-Зуево - г. Сургут по договору 67.001247-ЕЕ от 19.06.2024г
65	07.11.2024	2630000.00	Обеспечительный платеж за виллу,договор №7-00412/04 от 17 апреля 2024г
66	07.11.2024	1790,00	Оплата за Мицеллярная вода Чистая Линия Цветочная 3в1 100мл по счету 39232057623569584332 от 2026.11.07 Сумма 1790,00
67	07.11.2024	740000,00	Оплата аванса за ГСМ по счету А-0450 от 25.07.2024г. к Договору №91А-02936 от 09 октября 2025г. на сумму 740000,00В т.ч. НДС(20%) 123333,33
68	07.11.2024	2170.00	Перевод средств на собственный счет
69	07.11.2024	1300,00	гос. пошлина
70	07.11.2024	36900.00	За транспортировку, перевозка ж/д транспортом из г. Рязань в г. Тверь по договору №04943Б от 25.04.2023 г.
71	07.11.2024	34900.00	Алименты
72	07.11.2024	2360000.00	Оплата по договору процентного займа (20%) №45В-02291 от 12.09.2024г.. Без НДС
73	07.11.2024	4920,00	Оплата минеральной питьевой воды по счету 42077995181475627584 от 05 сентября 2027 г. Сумма 4920,00 без учета НДС
74	07.11.2024	690-00	Оплата за Лечо Global Village 520г по счету 28415641437755656443 от 07.03.2023г Сумма 690-00
75	07.11.2024	36600,00	Алименты
76	07.11.2024	3330000.00	Оплата по договору процентного займа (20%) №26-02960 от 14.08.2024г.. Без НДС
